name,genres,year,country,producer,imdb_rating,link
Восставший из ада 5: Инферно,фильм ужасов,2000,США,Скотт Дерриксон,5.4,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%B2%D1%88%D0%B8%D0%B9_%D0%B8%D0%B7_%D0%B0%D0%B4%D0%B0_5:_%D0%98%D0%BD%D1%84%D0%B5%D1%80%D0%BD%D0%BE
Виртуальный кошмар,,2000,США,Майкл Паттинсон,6.3,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%80%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D1%88%D0%BC%D0%B0%D1%80
Ведьма из Блэр 2: Книга теней,"мистика, ,триллер, ,ужасы",2000,США,Джо Берлингер,4.0,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B4%D1%8C%D0%BC%D0%B0_%D0%B8%D0%B7_%D0%91%D0%BB%D1%8D%D1%80_2:_%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0_%D1%82%D0%B5%D0%BD%D0%B5%D0%B9
Без сна,"ужасы,, ,триллер,, ,детектив",2000,,Дарио Ардженто,6.2,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7_%D1%81%D0%BD%D0%B0
13-й знак,Ужасы,2000,Великобритания,Джонти Эктон,3.1,https://ru.wikipedia.org/wiki/13-%D0%B9_%D0%B7%D0%BD%D0%B0%D0%BA
Багровые реки,"триллер,, ,остросюжетная драма,, ,фильм ужасов",2000,Франция,Матьё Кассовиц,6.9,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D1%80%D0%BE%D0%B2%D1%8B%D0%B5_%D1%80%D0%B5%D0%BA%D0%B8
Анатомия,Триллер,2000,Германия,Штефан Рузовицки,6.0,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BC%D0%B8%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Три лика ужаса,фильм ужасов,2004,Италия,Серджио Стивалетти,4.2,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8_%D0%BB%D0%B8%D0%BA%D0%B0_%D1%83%D0%B6%D0%B0%D1%81%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
7 дней до смерти,"драма,фильм ужасов,триллер",2000,США,Себастьян Ниман,5.1,https://ru.wikipedia.org/wiki/7_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B4%D0%BE_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8
Ротвейлер,"Триллер,Фильм ужасов",2004,,Брайан Юзна,3.1,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%82%D0%B2%D0%B5%D0%B9%D0%BB%D0%B5%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
